,lat,lng,sup_t,precio
937,-32.99515205749041,-68.84547442445069,572,32000
942,-32.988129764343114,-68.83086015648345,500,45000
944,-32.9965875,-68.82897489999999,500,26000
950,-32.992378415231144,-68.8267295423279,500,32000
953,-32.99401411698118,-68.85342396190185,580,35000
967,-32.954589302529754,-68.84039698768748,2383,110000
968,-32.9636846513684,-68.84180188179016,200,12999
969,-32.96391869424091,-68.8433039188385,200,12999
971,-32.98946322561431,-68.86296055767211,500,40000
974,-32.9973141,-68.82119449999999,500,30000
977,-32.99248156394764,-68.88830727514649,817,90000
981,-32.98532045695873,-68.86059844041769,611,45000
988,-32.994789929650885,-68.87319308298947,2000,130000
996,-32.994466687011354,-68.89845087833595,614,68000
997,-32.98901725059898,-68.8965892645569,1728,180000
1000,-32.989234558484625,-68.87384296120757,750,63800
1014,-32.97163598069478,-68.82478512450336,442,37600
1021,-32.99648619778232,-68.85909550321045,3309,198000
1030,-32.971603685424974,-68.82471513749665,395,36000
1031,-32.9809081,-68.8769007,600,35000
1034,-32.98851279387277,-68.8700122643408,1000,80000
1037,-32.98397531616516,-68.8683382985031,812,59000
1058,-32.9980559,-68.8726145,600,30000
1064,-32.9636176,-68.8574363,1008,75000
1073,-32.99681459212235,-68.8544882490906,500,40000
1076,-32.98350913556938,-68.87235115060179,1535,320000
1077,-32.993953091451644,-68.85810386684267,570,44000
1087,-32.99569132263625,-68.84548879543604,504,27500
1088,-32.99569132263625,-68.84548879543604,650,35300
1090,-33.00154257273695,-68.86477659234373,500,26000
1091,-32.99725041578702,-68.85419848289796,589,40000
1098,-32.97153880235138,-68.82469366082518,451,35000
1099,-32.98799866584296,-68.8306676442993,500,45000
1103,-32.99477347343989,-68.84517081957398,384,22500
1110,-32.952715344303,-68.839185119923,326,35000
1114,-32.98442202866951,-68.83014668888549,510,42000
1124,-32.98009158256144,-68.8024189238335,326,34300
1126,-32.99622416083852,-68.86077046394348,500,37000
1133,-32.99458550894937,-68.81985096560669,500,25000
1134,-32.99458550894937,-68.81985096560669,500,25000
1135,-32.9924864,-68.82675100000002,500,29000
1136,-32.95930750252722,-68.86355459620361,665,180000
1137,-32.98799866584296,-68.8306676442993,500,45000
1146,-32.98834978250929,-68.89434146290436,1012,80000
1156,-32.99329515617,-68.819587505545,500,25000
1168,-32.99500793513528,-68.85794239203494,500,38000
1169,-32.99623019805591,-68.8539896489704,500,40000
1172,-32.958819119707,-68.850610256195,4100,280000
1177,-32.95247252732602,-68.86373552853769,630,299000
1192,-32.97105275454389,-68.83557270058958,330,34000
1193,-32.987916678054006,-68.83148648572394,500,39000
1196,-32.9663767,-68.85721459999999,533,50000
1208,-32.962330442061514,-68.85101057367,1000,58000
1213,-32.95721222015,-68.856908082962,290,27000
1217,-32.951624799291736,-68.83508289206544,200,28000
1222,-32.9954382,-68.82875969999999,854,42000
1238,-32.98921863400523,-68.8769581011315,1505,135000
1250,-32.955205639672265,-68.85462526983642,2347,344900
1262,-32.99047394573132,-68.85893669157105,500,36000
1263,-32.98371558684298,-68.86797792701415,750,62900
